ID,CENTER,FY,SIC,NAICS,STATE,ANNUAL_SALES,EMPLOYEES,PLANT_AREA,ANNUAL_ELECTRICITY_COST,TOTAL_RECC_IMP_COST,TOTAL_RECC_SAVINGS,ROI_YRS,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,num_reccs,ARC2,IMPSTATUS
SD0264,SD,2001,3089.0,,CA,3800000.0,40.0,25000.0,90008.0,103035.0,62483.0,1.649008530320247,custom plastic injected parts,1.0,3000000.0,6120.0,5,5,"2.4146,2.1311,2.6218,3.6193,4.651","N,N,N,N,N"
SD0265,SD,2001,3731.0,,CA,21000000.0,300.0,230000.0,100227.0,27472.0,20675.0,1.3287545344619105,naval ship repairs,1.0,50.0,2168.0,6,6,"2.4236,2.4239,2.4236,2.7121,3.6193,3.7311","I,N,I,I,N,I"
SD0266,SD,2001,3564.0,,CA,27000000.0,250.0,100000.0,233360.0,151072.0,232283.0,0.6503790634699913,air filters,1.0,65000000.0,4335.0,8,8,"2.1311,2.7145,2.4236,2.7224,2.6218,4.514,4.445,4.441","N,N,N,N,N,N,N,I"
SD0267,SD,2001,2051.0,,CA,20000000.0,140.0,80000.0,491606.0,334220.0,289233.0,1.1555389599388728,bread and rolls,1.0,15600000.0,6240.0,11,11,"2.2121,2.2414,2.7124,2.2511,2.7142,3.6193,3.5131,4.446,4.446,4.445,4.821","N,N,N,N,N,N,N,I,N,N,N"
SD0268,SD,2001,3842.0,,CA,59000000.0,200.0,150000.0,829811.0,344060.0,413357.0,0.8323555667377109,earplugs,1.0,600000000.0,6600.0,10,10,"2.1211,2.4324,2.6218,2.2622,2.2437,2.1211,3.6193,4.446,4.446,4.821","N,N,N,N,N,N,N,I,I,N"
SD0269,SD,2001,3089.0,,CA,14000000.0,200.0,150000.0,290606.0,444100.0,515072.0,0.8622095551689861,Custom plastic injection molding,2.0,4000000.0,6600.0,9,9,"2.4146,2.1311,2.4146,2.6242,3.6193,4.111,4.321,4.446,4.441","N,N,N,I,I,I,I,N,I"
SD0270,SD,2001,3053.0,,CA,35000000.0,650.0,200000.0,1127534.0,3411000.0,1546786.0,2.205217787075911,rubber o-rings,2.0,1500000.0,7200.0,16,16,"2.5194,2.2614,2.4236,2.1311,2.4146,2.4146,2.7145,2.3416,3.5311,3.4131,3.8132,3.6193,3.5218,4.821,4.424,4.211","I,I,I,N,I,I,I,N,I,I,I,I,I,N,N,N"
SD0271,SD,2001,2024.0,,CA,10000000.0,130.0,200000.0,2013675.0,1679800.0,678240.0,2.476704411417787,Ice cream,5.0,12000.0,6600.0,12,12,"2.3132,2.4236,2.4146,2.7145,2.4146,2.7124,2.3416,4.445,4.441,4.445,4.445,4.821","N,I,N,N,N,N,N,I,N,N,N,N"
SD0272,SD,2001,3463.0,,CA,28000000.0,185.0,150000.0,870972.0,2057150.0,1607000.0,1.2801182327317984,Aluminum forgings for aerospace,2.0,1500000.0,4725.0,10,10,"2.4239,2.4323,2.4146,2.4236,2.4146,2.2437,2.4322,2.3415,3.6193,4.446","I,N,I,I,I,I,N,N,N,N"
SD0273,SD,2001,3365.0,,CA,3800000.0,50.0,80000.0,179178.0,30700.0,26867.0,1.1426657237503257,Aircraft latches,2.0,50000.0,4375.0,8,8,"2.4239,2.2424,2.2414,2.4236,2.4321,2.7145,3.5222,4.513","N,N,I,I,I,N,I,I"
SD0274,SD,2001,3353.0,,CA,60000000.0,202.0,120000.0,3844319.0,148740.0,480549.0,0.3095209853729797,Aluminum coiled sheets and welded tubing,2.0,46000000.0,8568.0,14,14,"2.2414,2.2424,2.2437,2.4236,2.3137,2.7145,2.7135,2.4146,2.2211,2.4239,3.4131,3.6193,4.821,4.454","P,P,N,I,I,I,I,N,I,N,N,I,I,I"
SD0275,SD,2001,3089.0,,CA,46000000.0,484.0,250000.0,630838.0,464180.0,1226720.0,0.3783911569062215,Awards and trophies,1.0,53000000.0,6120.0,17,17,"2.4322,2.4239,2.4239,2.4146,2.3132,2.7145,2.4236,3.6193,3.1175,3.5311,4.445,4.441,4.446,4.652,4.444,4.441,4.311","I,N,N,P,I,I,I,N,N,N,N,N,N,N,N,N,N"
SD0276,SD,2001,3354.0,,CA,20000000.0,80.0,46736.0,398102.0,154770.0,234598.0,0.6597242943247598,Aluminum extrusion,2.0,24000000.0,7344.0,10,10,"2.7134,2.6218,2.4236,2.2511,2.2437,3.1192,3.6193,4.445,4.445,4.652","N,N,N,N,N,N,N,N,N,N"
SD0277,SD,2001,3364.0,,CA,12000000.0,150.0,70000.0,464819.0,861294.0,510298.0,1.6878255450736628,Die cast fan housings,2.0,2900000.0,4200.0,14,14,"2.4236,2.4146,2.2437,2.4146,2.7145,2.7142,2.2511,3.5315,3.6193,3.6112,3.4131,3.4151,4.445,4.445","I,N,N,N,N,N,I,N,N,N,I,N,N,N"
SD0278,SD,2001,3354.0,,CA,40000000.0,168.0,130000.0,544885.0,444140.0,381632.0,1.163791296327352,Aluminum extrusion,2.0,16000000.0,6600.0,9,9,"2.4146,2.4236,2.7145,2.4146,2.2424,2.4239,3.6193,4.446,4.441","N,N,N,N,N,N,N,N,N"
SD0279,SD,2001,3463.0,,CA,70000000.0,210.0,250000.0,1652876.0,5679400.0,1086319.0,5.228114393654166,Aluminum forgings,2.0,6000000.0,6000.0,13,13,"2.4236,2.4146,2.4146,2.2414,2.4322,2.1131,2.2525,2.2437,2.4239,2.3417,3.6193,3.4111,4.652","I,N,N,N,N,I,N,N,N,N,N,N,I"
SD0280,SD,2001,3324.0,,CA,18000000.0,200.0,150000.0,585127.0,290200.0,221151.0,1.3122255834248997,Investment casting,2.0,4200000.0,4675.0,12,12,"2.2424,2.4236,2.7145,2.4231,2.4322,2.4146,2.2525,3.6193,3.5222,3.5311,4.652,4.211","N,I,N,N,N,N,N,N,N,N,N,N"
SD0281,SD,2001,3351.0,,CA,40000000.0,130.0,320000.0,949026.0,1166450.0,591362.0,1.972480477271113,Brass mill rod and shape products,2.0,40000000.0,6000.0,8,8,"2.4236,2.4321,2.7145,2.4322,2.1311,2.4321,3.6193,3.7198","I,N,N,N,N,N,N,N"
SD0282,SD,2001,3714.0,,CA,100000000.0,350.0,2500000.0,7739964.0,5231929.0,8522336.0,0.6139078534336125,Automobile wheels,1.0,3259000.0,6000.0,17,17,"2.2424,2.6218,2.4236,2.6222,2.4322,2.7121,2.2525,2.4239,2.4146,2.4239,3.6193,3.6193,3.6193,3.6112,3.3131,4.652,4.821","N,I,I,I,N,N,I,N,N,N,N,N,N,N,N,N,I"
SD0283,SD,2001,3463.0,,CA,72000000.0,500.0,500000.0,1602020.0,1262230.0,3687394.0,0.3423095009646379,Alumimum forging,2.0,4500000.0,6000.0,11,11,"2.4146,2.4236,2.4146,2.4322,2.7145,2.4239,3.6193,4.652,4.124,4.445,4.651","N,I,N,N,N,I,I,N,N,N,N"
SD0284,SD,2001,3448.0,,CA,70000000.0,190.0,140000.0,341456.0,165820.0,346383.0,0.4787186438133511,metal products for contruction of buildings,3.0,84000.0,6240.0,13,13,"2.4236,2.4226,2.4239,2.4146,2.4231,2.4224,2.6218,2.6218,3.3122,4.311,4.111,4.112,4.112","I,I,N,N,N,I,N,I,I,I,N,P,N"
SD0285,SD,2002,2531.0,,CA,100000000.0,500.0,560000.0,1291614.0,346320.0,748434.0,0.4627261722476531,Education and Commercial Furniture,1.0,250000.0,4862.0,20,20,"2.4322,2.4226,2.7145,2.4236,2.7135,2.4239,2.6218,2.3132,2.6218,2.4239,2.4146,3.5216,3.5316,3.5315,4.445,4.446,3.6193,4.446,4.441,4.446","N,I,N,I,I,N,I,I,I,I,N,I,I,N,N,N,N,N,N,N"
