SUPERID,ID,AR_NUMBER,APPCODE,ARC2,IMPSTATUS,IMPCOST,PSOURCCODE,PCONSERVED,PSOURCONSV,PSAVED,SSOURCCODE,SCONSERVED,SSOURCONSV,SSAVED,TSOURCCODE,TCONSERVED,TSOURCONSV,TSAVED,QSOURCCODE,QCONSERVED,QSOURCONSV,QSAVED,REBATE,INCREMNTAL,FY,IC_CAPITAL,IC_OTHER,PAYBACK,BPTOOL
OD006803,OD0068,3,2,2.4236,N,600,EC,147421,1511,2832,,,,,,,,,,,,,N,N,1996,,,0.2118644068,
OD006804,OD0068,4,1,2.2211,N,,E2,1857,,6054,,,,,,,,,,,,,N,N,1996,,,,
OD006805,OD0068,5,4,3.5315,N,,W4,240000,,2400,,,,,,,,,,,,,N,N,1996,,,,
OD006901,OD0069,1,3,2.7142,N,10531,EC,45721,469,4036,ED,244,,1533,,,,,,,,,N,N,1996,,,1.891003771,
OD006902,OD0069,2,2,2.4236,N,400,EC,60082,616,3019,,,,,,,,,,,,,N,N,1996,,,0.1324942034,
OD006903,OD0069,3,2,2.4231,N,,EC,17878,183,895,,,,,,,,,,,,,N,N,1996,,,,
OD006904,OD0069,4,1,2.2514,N,1030,EC,26377,270,1328,,,,,,,,,,,,,N,N,1996,,,0.7756024096,
OD006905,OD0069,5,3,2.7261,N,380,EC,6448,66,330,E5,133,,758,,,,,,,,,N,N,1996,,,0.3492647059,
OD006906,OD0069,6,4,3.5315,N,,W4,56020,,2136,,,,,,,,,,,,,N,N,1996,,,,
OD006907,OD0069,7,4,3.5248,N,,W4,88884,,5080,,,,,,,,,,,,,N,N,1996,,,,
OD007001,OD0070,1,2,2.4314,N,312,EC,9965,102,439,ED,35,,209,,,,,,,,,N,N,1996,,,0.4814814815,
OD007002,OD0070,2,2,2.4236,I,800,EC,19050,195,850,,,,,,,,,,,,,N,N,1996,,,0.9411764706,
