SUPERID,ID,AR_NUMBER,APPCODE,ARC2,IMPSTATUS,IMPCOST,PSOURCCODE,PCONSERVED,PSOURCONSV,PSAVED,SSOURCCODE,SCONSERVED,SSOURCONSV,SSAVED,TSOURCCODE,TCONSERVED,TSOURCONSV,TSAVED,QSOURCCODE,QCONSERVED,QSOURCONSV,QSAVED,REBATE,INCREMNTAL,FY,IC_CAPITAL,IC_OTHER,PAYBACK,BPTOOL
AM000101,AM0001,1,,2.8114,N,15000,E1,,,1828,,,,,,,,,,,,,N,N,1987,,,8.205689278,
AM000102,AM0001,2,,2.7142,N,189,E1,7034,72,663,,,,,,,,,,,,,N,N,1987,,,0.2850678733,
AM000103,AM0001,3,,2.7111,N,398,E1,10258,105,950,,,,,,,,,,,,,N,N,1987,,,0.4189473684,
AM000104,AM0001,4,,2.7447,I,354,E1,10844,111,544,,,,,,,,,,,,,N,N,1987,,,0.6507352941,
AM000105,AM0001,5,,2.7233,N,15,E1,4982,51,270,,,,,,,,,,,,,N,N,1987,,,0.05555555556,
AM000106,AM0001,6,,2.7111,N,,E1,1758,18,183,,,,,,,,,,,,,N,N,1987,,,,
AM000107,AM0001,7,,2.7111,N,,E1,586,6,41,,,,,,,,,,,,,N,N,1987,,,,
AM000201,AM0002,1,,2.6221,I,5500,E1,260844,2674,11479,,,,,,,,,,,,,N,N,1987,,,0.4791358132,
AM000202,AM0002,2,,2.7226,I,60000,E1,1077960,11049,52212,E2,10208,,42872,,,,,,,,,N,N,1987,,,0.631020992,
AM000203,AM0002,3,,2.6212,I,,E1,4689,48,205,,,,,,,,,,,,,N,N,1987,,,,
AM000204,AM0002,4,,2.4111,N,3224,E1,14654,150,643,,,,,,,,,,,,,N,N,1987,,,5.01399689,
AM000205,AM0002,5,,2.7142,I,1972,E1,8499,87,657,,,,,,,,,,,,,N,N,1987,,,3.00152207,
AM000206,AM0002,6,,2.7142,I,332,E1,2052,21,154,,,,,,,,,,,,,N,N,1987,,,2.155844156,
AM000207,AM0002,7,,2.7142,I,2533,E1,15533,159,1175,,,,,,,,,,,,,N,N,1987,,,2.155744681,
AM000208,AM0002,8,,2.7133,I,97,E1,1465,15,58,,,,,,,,,,,,,N,N,1987,,,1.672413793,
AM000209,AM0002,9,,2.7111,I,18,E1,1758,18,77,,,,,,,,,,,,,N,N,1987,,,0.2337662338,
AM000301,AM0003,1,,2.3212,N,12000,E1,,,7269,,,,,,,,,,,,,N,N,1987,,,1.650846059,
AM000302,AM0003,2,,2.7224,N,,E2,640,,3130,,,,,,,,,,,,,N,N,1987,,,,
AM000303,AM0003,3,,2.7111,N,255,E1,40445,415,1580,,,,,,,,,,,,,N,N,1987,,,0.1613924051,
AM000304,AM0003,4,,2.4111,N,,E1,46893,481,1838,,,,,,,,,,,,,N,N,1987,,,,
AM000305,AM0003,5,,2.7142,N,,E1,8206,84,495,,,,,,,,,,,,,N,N,1987,,,,
AM000306,AM0003,6,,2.7142,I,2932,E1,12896,132,785,,,,,,,,,,,,,N,N,1987,,,3.735031847,
AM000307,AM0003,7,,2.2437,N,500,E2,168,,822,,,,,,,,,,,,,N,N,1987,,,0.6082725061,
AM000308,AM0003,8,,2.7142,I,37,E1,1465,15,82,,,,,,,,,,,,,N,N,1987,,,0.4512195122,
AM000401,AM0004,1,,2.6218,I,,E1,18171,186,1995,,,,,,,,,,,,,N,N,1987,,,,
AM000402,AM0004,2,,2.7142,I,107,E1,1758,18,151,,,,,,,,,,,,,N,N,1987,,,0.7086092715,
AM000403,AM0004,3,,2.7142,I,2367,E1,12309,126,1143,,,,,,,,,,,,,N,N,1987,,,2.070866142,
AM000404,AM0004,4,,2.4236,I,80,E1,1758,18,97,,,,,,,,,,,,,N,N,1987,,,0.824742268,
AM000405,AM0004,5,,2.7142,N,3500,E1,4689,48,595,,,,,,,,,,,,,N,N,1987,,,5.882352941,
AM000406,AM0004,6,,2.6232,N,,E1,879,9,97,,,,,,,,,,,,,N,N,1987,,,,
AM000407,AM0004,7,,2.6232,N,,E1,4396,45,421,,,,,,,,,,,,,N,N,1987,,,,
AM000408,AM0004,8,,2.6212,I,,E1,1172,12,170,,,,,,,,,,,,,N,N,1987,,,,
AM000409,AM0004,9,,2.7142,N,990,E1,5275,54,505,,,,,,,,,,,,,N,N,1987,,,1.96039604,
AM000410,AM0004,10,,2.2437,N,1585,E2,526,,2102,,,,,,,,,,,,,N,N,1987,,,0.7540437678,
AM000411,AM0004,11,,2.8114,N,13800,E1,,,10331,,,,,,,,,,,,,N,N,1987,,,1.3357855,
AM000501,AM0005,1,,2.7142,I,4395,E1,35170,360,1623,,,,,,,,,,,,,N,N,1987,,,2.707948244,
AM000502,AM0005,2,,2.7142,I,1233,E1,8792,90,418,,,,,,,,,,,,,N,N,1987,,,2.949760766,
AM000503,AM0005,3,,2.7142,N,95,E1,2052,21,145,,,,,,,,,,,,,N,N,1987,,,0.6551724138,
AM000504,AM0005,4,,2.2449,N,960,E2,83,,273,,,,,R2,,,157,,,,,N,N,1987,,,2.23255814,
AM000505,AM0005,5,,2.4111,N,,E1,4396,45,186,,,,,,,,,,,,,N,N,1987,,,,
AM000506,AM0005,6,,2.1233,I,270,E2,85,,281,,,,,,,,,,,,,N,N,1987,,,0.9608540925,
AM000507,AM0005,7,,2.8112,N,500,E2,,,319,,,,,,,,,,,,,N,N,1987,,,1.567398119,
AM000601,AM0006,1,,2.8114,I,15600,E1,,,7381,,,,,,,,,,,,,N,N,1987,,,2.113534751,
AM000602,AM0006,2,,3.7214,I,260,R2,,,1998,,,,,,,,,,,,,N,N,1987,,,0.1301301301,
AM000603,AM0006,3,,2.1233,I,270,E2,139,,519,,,,,,,,,,,,,N,N,1987,,,0.5202312139,
AM000604,AM0006,4,,2.4111,I,524,E1,7327,75,308,,,,,,,,,,,,,N,N,1987,,,1.701298701,
AM000605,AM0006,5,,2.2511,I,200,E2,40,,161,,,,,,,,,,,,,N,N,1987,,,1.242236025,
AM000606,AM0006,6,,2.6232,I,55,E1,879,9,38,,,,,,,,,,,,,N,N,1987,,,1.447368421,
AM000701,AM0007,1,,2.3212,I,5000,E1,,,1648,,,,,,,,,,,,,N,N,1987,,,3.033980583,
AM000702,AM0007,2,,2.4236,N,520,E1,23447,240,910,,,,,,,,,,,,,N,N,1987,,,0.5714285714,
AM000703,AM0007,3,,2.6212,I,,E1,2931,30,114,,,,,,,,,,,,,N,N,1987,,,,
AM000704,AM0007,4,,2.7142,I,3205,E1,56565,580,2212,,,,,,,,,,,,,N,N,1987,,,1.448915009,
AM000705,AM0007,5,,2.7142,I,2146,E1,53927,553,2996,,,,,,,,,,,,,N,N,1987,,,0.7162883845,
AM000801,AM0008,1,,2.7142,I,624,E1,2931,30,204,,,,,,,,,,,,,N,N,1987,,,3.058823529,
AM000802,AM0008,2,,2.4236,I,5,E1,1758,18,50,,,,,,,,,,,,,N,N,1987,,,0.1,
AM000803,AM0008,3,,2.4111,I,1580,E1,31360,321,960,,,,,,,,,,,,,N,N,1987,,,1.645833333,
AM000804,AM0008,4,,2.5194,N,14300,E1,204279,2094,8451,,,,,,,,,,,,,N,N,1987,,,1.692107443,
AM000901,AM0009,1,,2.8114,I,8250,E1,,,3552,,,,,,,,,,,,,N,N,1987,,,2.322635135,
AM000902,AM0009,2,,2.7121,I,3300,E1,16120,165,1103,,,,,,,,,,,,,N,N,1987,,,2.991840435,
AM000903,AM0009,3,,2.7142,N,145,E1,9965,102,484,,,,,,,,,,,,,N,N,1987,,,0.2995867769,
AM000904,AM0009,4,,2.1311,N,15500,E1,1073564,11004,47994,E2,-4884,,-25299,,,,,,,,,N,N,1987,,,0.6829698171,
AM001001,AM0010,1,,2.2437,N,69,E2,403,,1435,E1,4689,48,229,,,,,,,,,N,N,1987,,,0.04146634615,
AM001002,AM0010,2,,2.7142,I,177,E1,27843,285,1314,,,,,,,,,,,,,N,N,1987,,,0.1347031963,
AM001003,AM0010,3,,2.2711,I,2394,E2,276,,983,E1,21688,222,903,,,,,,,,,N,N,1987,,,1.269353128,
AM001004,AM0010,4,,2.7142,I,689,E1,14654,150,835,,,,,,,,,,,,,N,N,1987,,,0.8251497006,
AM001101,AM0011,1,,2.3511,I,40345,E1,,,16728,,,,,,,,,,,,,N,N,1987,,,2.411824486,
AM001102,AM0011,2,,2.2511,N,5600,E1,362837,3719,10709,,,,,,,,,,,,,N,N,1987,,,0.5229246428,
AM001103,AM0011,3,,2.4312,I,,E1,117526,1205,4505,,,,,,,,,,,,,N,N,1987,,,,
AM001104,AM0011,4,,2.7142,I,3227,E1,71512,733,2812,,,,,,,,,,,,,N,N,1987,,,1.147581792,
AM001105,AM0011,5,,2.2437,I,300,E2,829,,2870,,,,,,,,,,,,,N,N,1987,,,0.1045296167,
AM001106,AM0011,6,,2.7142,I,2089,E1,42497,436,1677,,,,,,,,,,,,,N,N,1987,,,1.245676804,
AM001107,AM0011,7,,2.4111,I,,E1,18171,186,540,,,,,,,,,,,,,N,N,1987,,,,
AM001108,AM0011,8,,2.8114,I,80,E1,4982,51,446,,,,,,,,,,,,,N,N,1987,,,0.1793721973,
AM001109,AM0011,9,,2.6232,I,,E1,4396,45,258,,,,,,,,,,,,,N,N,1987,,,,
AM001201,AM0012,1,,2.6212,I,,E1,481829,4939,12336,,,,,,,,,,,,,N,N,1987,,,,
AM001202,AM0012,2,,2.7121,N,,E1,64185,658,1644,,,,,,,,,,,,,N,N,1987,,,,
AM001203,AM0012,3,,2.4312,N,,E1,23740,243,611,,,,,,,,,,,,,N,N,1987,,,,
AM001204,AM0012,4,,2.4111,I,,E1,13189,135,342,,,,,,,,,,,,,N,N,1987,,,,
AM001205,AM0012,5,,2.7142,N,68,E1,1172,12,70,,,,,,,,,,,,,N,N,1987,,,0.9714285714,
AM001301,AM0013,1,,2.2511,I,1070,E1,11430,117,367,,,,,,,,,,,,,N,N,1987,,,2.915531335,
AM001302,AM0013,2,,2.7142,I,53,E1,3810,39,187,,,,,,,,,,,,,N,N,1987,,,0.2834224599,
AM001303,AM0013,3,,2.4312,I,100,E1,6155,63,204,,,,,,,,,,,,,N,N,1987,,,0.4901960784,
AM001304,AM0013,4,,3.4154,I,100,R2,,,113,,,,,,,,,,,,,N,N,1987,,,0.8849557522,
AM001305,AM0013,5,,2.7142,I,58,E1,586,6,71,,,,,,,,,,,,,N,N,1987,,,0.8169014085,
AM001306,AM0013,6,,2.4231,I,,E1,3810,39,120,,,,,,,,,,,,,N,N,1987,,,,
AM001307,AM0013,7,,2.4236,I,,E1,3517,36,111,,,,,,,,,,,,,N,N,1987,,,,
AM001308,AM0013,8,,2.3191,N,2000,E1,,,1995,,,,,,,,,,,,,N,N,1987,,,1.002506266,
AM001402,AM0014,2,,2.4236,I,300,E1,27843,285,945,,,,,,,,,,,,,N,N,1987,,,0.3174603175,
AM001403,AM0014,3,,2.7142,N,94,E1,4396,45,279,,,,,,,,,,,,,N,N,1987,,,0.3369175627,
AM001404,AM0014,4,,2.7111,I,,E1,8499,87,555,,,,,,,,,,,,,N,N,1987,,,,
AM001405,AM0014,5,,2.4236,I,300,E1,13482,138,460,,,,,,,,,,,,,N,N,1987,,,0.652173913,
AM001406,AM0014,6,,2.7261,I,500,E1,13189,135,362,,,,,,,,,,,,,N,N,1987,,,1.38121547,
AM001407,AM0014,7,,2.2437,N,200,E3,59,,460,,,,,,,,,,,,,N,N,1987,,,0.4347826087,
AM001408,AM0014,8,,2.7133,I,50,E1,8206,84,283,,,,,,,,,,,,,N,N,1987,,,0.1766784452,
AM001409,AM0014,9,,2.7142,N,67,E1,1172,12,83,,,,,,,,,,,,,N,N,1987,,,0.8072289157,
AM001501,AM0015,1,,2.6218,I,,E1,72978,748,2599,,,,,,,,,,,,,N,N,1987,,,,
AM001502,AM0015,2,,2.2511,N,2000,E1,26964,276,960,,,,,,,,,,,,,N,N,1987,,,2.083333333,
AM001503,AM0015,3,,2.7111,N,2040,E1,4689,48,549,,,,,,,,,,,,,N,N,1987,,,3.715846995,
AM001504,AM0015,4,,2.7142,N,33,E1,1465,15,97,,,,,,,,,,,,,N,N,1987,,,0.3402061856,
AM001505,AM0015,5,,2.7261,N,750,E1,4689,48,136,,,,,,,,,,,,,N,N,1987,,,5.514705882,
AM001506,AM0015,6,,2.4312,N,,E1,4396,45,157,,,,,,,,,,,,,N,N,1987,,,,
AM001507,AM0015,7,,2.4111,N,,E1,2638,27,92,,,,,,,,,,,,,N,N,1987,,,,
AM001601,AM0016,1,,2.2511,N,10000,E1,206624,2118,5785,,,,,,,,,,,,,N,N,1988,,,1.72860847,
AM001602,AM0016,2,,2.7121,I,,E1,15826,162,631,,,,,,,,,,,,,N,N,1988,,,,
AM001603,AM0016,3,,2.7142,I,464,E1,10844,111,412,,,,,,,,,,,,,N,N,1988,,,1.126213592,
